_id;qtd;userId;createdAt;__v
5c7483c7d9d5a93442c5d945;0;5c27b4b6f764a50738e4df0e;26/02/2019 00:09:43;0;
5c7483d7ea11d134779f2c0a;180;5c34ab6f35351d4e2a21bc80;26/02/2019 00:09:59;0;
5c7483e8fa725d3450d7a1ff;52;5c34a7c735351d4e2a21bc79;26/02/2019 00:10:16;0;
5c7483f6fa725d3450d7a201;126;5be23cbb9e0ff554c17a94d1;26/02/2019 00:10:30;0;27/08/2021 18:38:10;
5c748405d9d5a93442c5d948;1;5c041eedcd43872e91cad014;26/02/2019 00:10:45;0;
5c748417d9d5a93442c5d94c;0;5c5c3add9eb05806d553df96;26/02/2019 00:11:03;0;
5c748422ea11d134779f2c0c;0;5c333f17f764a50738e4df11;26/02/2019 00:11:14;0;
5c74842efa725d3450d7a204;108;5c34ab6335351d4e2a21bc7d;26/02/2019 00:11:26;0;
5c748440d9d5a93442c5d94f;1;5c6c1635434aa407134229c8;26/02/2019 00:11:44;0;
5c748712ea11d134779f2c11;0;5be1f7ce89cb5a211f04b21a;26/02/2019 00:23:46;0;
5c74872ed9d5a93442c5d952;0;5be1f7ef89cb5a211f04b21c;26/02/2019 00:24:14;0;
5c74873ad9d5a93442c5d954;0;5c59785162c48228365ea3a4;26/02/2019 00:24:26;0;
5c748751d9d5a93442c5d956;0;5be1f7ff89cb5a211f04b21e;26/02/2019 00:24:49;0;
5c748759ea11d134779f2c14;0;5be1f81a89cb5a211f04b220;26/02/2019 00:24:57;0;
5c748760ea11d134779f2c16;0;5c5ad5fe9eb05806d553df93;26/02/2019 00:25:04;0;
5c74876fea11d134779f2c18;0;5be1f84c89cb5a211f04b222;26/02/2019 00:25:19;0;
5c74877dd9d5a93442c5d958;0;5be1f85e89cb5a211f04b224;26/02/2019 00:25:33;0;
5c748786d9d5a93442c5d95a;0;5be1f87089cb5a211f04b226;26/02/2019 00:25:42;0;
5c748799fa725d3450d7a207;0;5be1f89089cb5a211f04b228;26/02/2019 00:26:01;0;
5c7487a4d9d5a93442c5d95c;0;5be1f8a189cb5a211f04b22a;26/02/2019 00:26:12;0;
5c7487aed9d5a93442c5d95e;0;5be1f8b689cb5a211f04b22c;26/02/2019 00:26:22;0;
5c7487e7d9d5a93442c5d960;0;5c48c9e7edebf13447066ff2;26/02/2019 00:27:19;0;
5c748804d9d5a93442c5d962;0;5c614b60df149a06c7005d86;26/02/2019 00:27:48;0;
5c74882ed9d5a93442c5d964;0;5be1f59789cb5a211f04b202;26/02/2019 00:28:30;0;
5c74883bea11d134779f2c1a;0;5be1f5ae89cb5a211f04b204;26/02/2019 00:28:43;0;
5c748848ea11d134779f2c1c;0;5be1f56889cb5a211f04b200;26/02/2019 00:28:56;0;
5c748855d9d5a93442c5d966;5;5be1f5bd89cb5a211f04b206;26/02/2019 00:29:09;0;
5c74885cd9d5a93442c5d968;0;5be1f5d589cb5a211f04b208;26/02/2019 00:29:16;0;
5c748862d9d5a93442c5d96a;0;5be1f5ef89cb5a211f04b20a;26/02/2019 00:29:22;0;
5c74886cfa725d3450d7a209;0;5be1f60589cb5a211f04b20c;26/02/2019 00:29:32;0;
5c748874fa725d3450d7a20b;0;5be1f61a89cb5a211f04b20e;26/02/2019 00:29:40;0;
5c74887cfa725d3450d7a20d;0;5be1f63789cb5a211f04b210;26/02/2019 00:29:48;0;
5c748885fa725d3450d7a20f;0;5be1f64c89cb5a211f04b212;26/02/2019 00:29:57;0;
5c748894fa725d3450d7a211;0;5be1f66189cb5a211f04b214;26/02/2019 00:30:12;0;
5c74889cfa725d3450d7a213;0;5be1f67789cb5a211f04b216;26/02/2019 00:30:20;0;
5c7488a4fa725d3450d7a215;0;5be1f68989cb5a211f04b218;26/02/2019 00:30:28;0;
